ElectricalConductivity_composition_average,valence_composition_average,ICSDVolume_composition_average,HeatCapacityMass_arithmetic_average,SpaceGroupNumber_composition_average,BCCvolume_pa_composition_average,IsAlkalineEarth_composition_average,ICSDVolume_difference,AtomicVolume_composition_average,BCCenergy_pa_composition_average,BCCefflatcnt_composition_average,BCCvolume_padiff_composition_average,ThirdIonizationEnergy_arithmetic_average,HeatFusion_composition_average,GSenergy_pa_composition_average,IonizationEnergy_composition_average,AtomicWeight_arithmetic_average,IsHexagonal_composition_average,NUnfilled_composition_average,AtomicRadii_composition_average,BCCmagmom_composition_average,GSmagmom_composition_average,IsBCC_composition_average,HHIr_composition_average,ThermalConductivity_composition_average
1.6880000000000002,2.3200000000000003,22.676,0.563,65.24000000000001,16.2952,0.08,38.7,11167.60270238483,-2.8473962404,6.00603665904,-1.1734,45.7122,2.6540000000000004,-4.2534468174,1018.5319999999999,67.310574,0.2,3.4400000000000004,1.11392,0.000128816,0.0,0.0,1240.0,15.19764
3.95,2.42,20.836,0.4578,86.74000000000002,14.6034,0.04,44.9,11165.750930726059,-3.7324321554000006,5.766925005579998,-0.9911,36.37179999999999,4.6134,-5.1499748099,1048.042,71.460613,0.34,3.26,1.07468,0.3454687679999999,0.320938072,0.02,1430.0,22.06564
3.8160000000000003,2.48,20.848000000000003,0.4578,87.44000000000003,14.6092,0.04,44.9,11165.76656081179,-3.7585401112,5.76793557912,-0.995,36.37179999999999,4.5656,-5.1740767142,1048.068,71.460613,0.32,3.28,1.07444,0.35400128,0.33218190400000003,0.04,1404.0,21.669640000000005
3.682,2.54,20.86,0.4578,88.14,14.615000000000002,0.04,44.9,11165.782190897517,-3.784648067,5.76894615266,-0.9989,36.37179999999999,4.5177999999999985,-5.1981786185,1048.094,71.460613,0.3,3.3,1.0741999999999998,0.362533792,0.34342573600000004,0.06,1378.0,21.27364
3.548,2.6,20.872,0.4578,88.84000000000002,14.6208,0.04,44.9,11165.797820983247,-3.8107560228000006,5.7699567262,-1.0028,36.37179999999999,4.47,-5.222280522799999,1048.12,71.460613,0.28,3.3199999999999994,1.07396,0.37106630399999996,0.35466956800000005,0.08,1352.0,20.877640000000003
3.414,2.66,20.884,0.4578,89.54,14.6266,0.04,44.9,11165.813451068978,-3.8368639786,5.7709672997400006,-1.0067,36.37179999999999,4.4222,-5.2463824270999995,1048.146,71.460613,0.26,3.34,1.07372,0.379598816,0.3659134,0.1,1326.0,20.48164
3.28,2.72,20.896,0.4578,90.24,14.6324,0.04,44.9,11165.829081154705,-3.8629719344000013,5.771977873280001,-1.0106,36.37179999999999,4.3744,-5.2704843314000005,1048.172,71.460613,0.24,3.3600000000000003,1.07348,0.3881313280000001,0.3771572320000001,0.12,1300.0,20.08564
3.1460000000000004,2.78,20.908,0.4578,90.94,14.6382,0.04,44.9,11165.844711240432,-3.889079890200001,5.77298844682,-1.0145,36.37179999999999,4.3266,-5.2945862357000015,1048.198,71.460613,0.22,3.38,1.07324,0.39666384,0.38840106399999996,0.14,1274.0,19.68964
3.012,2.84,20.92,0.4578,91.64,14.644000000000002,0.04,44.9,11165.860341326159,-3.915187846,5.77399902036,-1.0184,36.37179999999999,4.2788,-5.318688140000001,1048.2240000000004,71.460613,0.2,3.4000000000000004,1.073,0.405196352,0.399644896,0.16,1248.0,19.293640000000003
2.878,2.9000000000000004,20.932,0.4578,92.34000000000002,14.6498,0.04,44.9,11165.87597141189,-3.9412958018,5.7750095939,-1.0223,36.37179999999999,4.231,-5.3427900443,1048.25,71.460613,0.18,3.42,1.07276,0.413728864,0.410888728,0.18,1222.0,18.897640000000006
2.95,2.8600000000000003,20.548,0.4578,91.02,14.3352,0.02,44.9,11165.504491633006,-3.9775463382000007,5.75344283314,-0.98055,36.37179999999999,4.254200000000001,-5.383582791699999,1047.996,71.460613,0.22,3.58,1.06754,0.4052124540000001,0.399644896,0.16,1250.0,19.493040000000004
3.074,2.8200000000000003,21.291999999999998,0.4578,92.26,14.9528,0.06,44.9,11166.216191019317,-3.8528293538000007,5.79455520758,-1.05625,36.37179999999999,4.3034,-5.2537934882999995,1048.452,71.460613,0.18,3.22,1.07846,0.40518025,0.399644896,0.16,1246.0,19.094240000000006
3.136,2.8,21.664,0.4578,92.88,15.2616,0.08,44.9,11166.572040712468,-3.7904708616,5.815111394800001,-1.0941,36.37179999999999,4.328,-5.1888988366,1048.68,71.460613,0.16,3.04,1.08392,0.40516414799999995,0.399644896,0.16,1244.0,18.89484
3.26,2.76,22.408,0.4578,94.12,15.8792,0.12,44.9,11167.283740098777,-3.6657538772,5.8562237692400005,-1.1698,36.37179999999999,4.3772,-5.0591095332,1049.136,71.460613,0.12,2.68,1.09484,0.40513194399999997,0.399644896,0.16,1240.0,18.496040000000004
4.26,2.3200000000000003,22.696,0.4578,89.84,16.147399999999998,0.14,44.9,11167.530179191832,-3.4206396944,5.86970594168,-1.18035,36.37179999999999,4.7364,-4.8255015513999995,1049.182,71.460613,0.24,2.3600000000000003,1.10198,0.34538825799999995,0.320938072,0.02,1420.0,21.06864
4.126,2.38,22.708000000000002,0.4578,90.54,16.1532,0.14,44.9,11167.54580927756,-3.4467476502000003,5.87071651522,-1.18425,36.37179999999999,4.6886,-4.8496034557000005,1049.208,71.460613,0.22,2.38,1.10174,0.35392077,0.33218190400000003,0.04,1394.0,20.672640000000005
3.9919999999999987,2.4399999999999995,22.72,0.4578,91.24,16.159000000000002,0.14,44.9,11167.561439363288,-3.4728556059999995,5.871727088759999,-1.18815,36.37179999999999,4.6408,-4.8737053600000015,1049.234,71.460613,0.2,2.3999999999999995,1.1015,0.36245328200000004,0.34342573600000004,0.06,1368.0,20.27664
3.858,2.5,22.732,0.4578,91.94,16.1648,0.14,44.9,11167.577069449017,-3.4989635618,5.8727376623000005,-1.19205,36.37179999999999,4.592999999999999,-4.8978072643,1049.26,71.460613,0.18,2.42,1.1012600000000001,0.370985794,0.35466956800000005,0.08,1342.0,19.880640000000003
3.7239999999999993,2.56,22.744,0.4578,92.64,16.1706,0.14,44.9,11167.592699534744,-3.5250715176,5.87374823584,-1.1959499999999998,36.37179999999999,4.5452,-4.9219091686,1049.286,71.460613,0.16,2.4399999999999995,1.10102,0.379518306,0.3659134,0.1,1316.0,19.48464
3.59,2.62,22.756,0.4578,93.34,16.176399999999994,0.14,44.9,11167.608329620474,-3.5511794734000004,5.8747588093799985,-1.19985,36.37179999999999,4.497399999999999,-4.9460110729,1049.312,71.460613,0.14,2.46,1.10078,0.38805081799999996,0.3771572320000001,0.12,1290.0,19.08864
3.4559999999999995,2.68,22.768,0.4578,94.04,16.182199999999998,0.14,44.9,11167.623959706203,-3.5772874292,5.87576938292,-1.20375,36.37179999999999,4.4495999999999984,-4.9701129772,1049.338,71.460613,0.12,2.4799999999999995,1.10054,0.39658333,0.38840106399999996,0.14,1264.0,18.69264
3.322,2.74,22.78,0.4578,94.74,16.188,0.14,44.9,11167.639589791932,-3.6033953850000007,5.87677995646,-1.20765,36.37179999999999,4.4018,-4.9942148815000005,1049.364,71.460613,0.1,2.5,1.1003,0.4051158420000001,0.399644896,0.16,1238.0,18.296640000000004
3.188,2.8,22.791999999999998,0.4578,95.44,16.1938,0.14,44.9,11167.65521987766,-3.6295033408,5.87779053,-1.21155,36.37179999999999,4.354,-5.0183167858,1049.39,71.460613,0.08,2.52,1.10006,0.413648354,0.410888728,0.18,1212.0,17.900640000000006
3.012,2.84,20.92,0.4578,91.64,14.644000000000002,0.04,44.9,11165.860341326159,-3.915187846,5.77399902036,-1.0184,36.37179999999999,4.2788,-5.318688140000001,1048.2240000000004,71.460613,0.2,3.4000000000000004,1.073,0.405196352,0.399644896,0.16,1248.0,19.293640000000003
3.074,2.8200000000000003,21.291999999999998,0.4578,92.26,14.9528,0.06,44.9,11166.216191019317,-3.8528293538000007,5.79455520758,-1.05625,36.37179999999999,4.3034,-5.2537934882999995,1048.452,71.460613,0.18,3.22,1.07846,0.40518025,0.399644896,0.16,1246.0,19.094240000000006
3.136,2.8,21.664,0.4578,92.88,15.2616,0.08,44.9,11166.572040712468,-3.7904708616,5.815111394800001,-1.0941,36.37179999999999,4.328,-5.1888988366,1048.68,71.460613,0.16,3.04,1.08392,0.40516414799999995,0.399644896,0.16,1244.0,18.89484
1.02,2.84,22.964000000000002,0.4844000000000001,91.28000000000002,16.3532,0.12,43.8,11167.8359571849,-3.7382236568000007,5.925734105519999,-1.16291034484,35.7732,4.200799999999999,-5.1547024694408,1036.056,69.065983,0.16,3.16,1.1108,0.09829315599999999,3.9017149425264e-05,0.12,1252.0,4.35444
4.324000000000002,2.76,21.484,0.5589999999999999,91.44,15.2526,0.04,43.8,11166.416841402022,-3.5623666746000007,5.8633151781400015,-0.9799586207,35.9644,3.7832,-4.986393913634,1025.9160000000004,64.88889072,0.16,3.64,1.09132,0.081986106,3.10120689655e-05,0.1,1196.0,26.94364
3.1460000000000004,2.64,21.285999999999998,0.4578,90.16,14.979399999999998,0.06,44.9,11166.200858012564,-3.8964378083999995,5.799018881059999,-1.04655,36.4336,5.1658,-5.3035109934,1037.7240000000004,70.690833,0.24,3.3599999999999994,1.07998,0.168516434,0.15484712,0.1,1594.0,21.632240000000003
1.375,3.05,21.21,0.4694,92.15,14.832,0.05,44.0,11166.144617544236,-4.1166494735,5.78996892875,-1.0448836206999998,36.467,4.8245000000000005,-5.529975929784,1033.55,69.891803,0.15,3.65,1.07595,0.081978055,3.10120689655e-05,0.2,1505.0,12.51394
2.572,3.04,22.026999999999997,0.4638,75.64999999999998,15.0093,0.1,44.3,11166.9302004391,-3.6715537155,5.803700382430001,-1.4965,36.446999999999996,4.7578,-5.0615150978,1062.441,83.26235999999999,0.03,2.42,1.07741,0.358812676,0.35881335200000003,0.16999999999999998,1486.0,15.591439999999999
2.7439999999999998,3.08,21.909000000000002,0.4638,76.35,14.8871,0.1,44.3,11166.813021395315,-3.6840380405,5.785680667209999,-1.4994999999999998,36.446999999999996,4.751,-5.0717202426,1064.4669999999999,83.26235999999999,0.01,2.34,1.0732700000000002,0.401025932,0.40102615733333336,0.19,1482.0,16.757440000000006
2.658,3.06,21.968000000000004,0.4638,76.0,14.9482,0.1,44.3,11166.871610917207,-3.677795878,5.79469052482,-1.4980000000000002,36.446999999999996,4.7544,-5.066617670199999,1063.4540000000004,83.26235999999999,0.02,2.38,1.07534,0.37991930399999996,0.37991975466666666,0.18,1484.0,16.174440000000004
2.486,3.02,22.086,0.4638,75.30000000000003,15.070400000000005,0.1,44.3,11166.988789960991,-3.665311553,5.81271024004,-1.495,36.446999999999996,4.7612,-5.056412525400001,1061.428,83.26235999999999,0.04,2.46,1.07948,0.33770604800000004,0.3377069493333334,0.16,1488.0,15.008440000000002
2.78,3.06,22.156,0.4044,74.94000000000003,15.116,0.1,44.3,11167.05822027927,-3.6024690246000004,5.8133256634200015,-1.6621,37.0492,4.6144,-4.990334069599999,1064.466,97.43095999999998,0.0,2.3,1.0787799999999999,0.37991930399999996,0.37991930399999996,0.18,1484.0,17.068440000000002
4.81,2.9400000000000004,21.854,0.4360000000000001,76.54,14.84,0.1,44.3,11166.756534951917,-3.5045763198000004,5.7790621994,-1.5006,38.31480000000001,4.7392,-4.8926296333999995,1064.924,86.39815999999998,0.0,2.18,1.0726799999999999,0.33770604800000004,0.33770604800000004,0.16,1484.0,30.17244
2.784,3.09,21.914,0.412,76.7,14.9005,0.1,44.3,11166.816679553527,-3.7083585747,5.7873502857600005,-1.501,35.9568,4.9095,-5.0949011867000005,1064.527,92.270236,0.0,2.33,1.07308,0.401025932,0.401025932,0.2,1554.0,17.07544
2.738,3.08,21.978,0.412,76.7,14.975,0.1,44.3,11166.878927233634,-3.7264369464,5.7980297619200005,-1.501,35.9568,5.0714,-5.1129795584,1063.5739999999998,92.270236,0.0,2.3600000000000003,1.07496,0.37991930399999996,0.37991930399999996,0.2,1628.0,16.810440000000003
2.692,3.07,22.042,0.412,76.7,15.049500000000002,0.1,44.3,11166.941174913745,-3.7445153181,5.8087092380800005,-1.501,35.9568,5.2333,-5.131057930100001,1062.621,92.270236,0.0,2.39,1.07684,0.358812676,0.358812676,0.2,1702.0,16.545440000000006
2.7989999999999995,3.09,21.909000000000002,0.387,76.7,14.899900000000002,0.1,44.3,11166.817125519316,-3.7259393548,5.787277314400001,-1.501,30.9488,4.9752,-5.1124819668,1065.497,109.87853600000001,0.0,2.33,1.07309,0.401025932,0.401025932,0.2,1514.0,17.11344
2.7680000000000002,3.08,21.968000000000004,0.387,76.7,14.9738,0.1,44.3,11166.879819165213,-3.7615985066,5.797883819200001,-1.501,30.9488,5.2028,-5.1481411186,1065.514,109.87853600000001,0.0,2.3600000000000003,1.0749799999999998,0.37991930399999996,0.37991930399999996,0.2,1548.0,16.886440000000004
3.116,2.96,20.462,0.4948,92.42,14.174000000000001,0.02,32.40000000000001,11165.4125282952,-4.0709053792,5.7552858981599995,-0.98095,36.1414,4.5046,-5.473253663,1046.948,68.74685,0.18,3.68,1.06722,0.380064222,0.37991930399999996,0.2,1316.0,22.100440000000006
2.962,2.8200000000000003,20.69,0.458,88.34,14.4068,0.06,44.9,11165.715855224502,-3.821662103,5.752089461740001,-1.0888,37.2216,4.6422,-5.2238101713,1049.138,73.75151899999999,0.04,3.08,1.0679599999999998,0.405067536,0.399644896,0.16,1246.0,19.066240000000004
3.032,2.8200000000000003,20.844,0.4568,92.26,14.602800000000002,0.06,44.9,11165.745568246226,-3.8297136430000003,5.76769452856,-1.114,36.9522,4.435,-5.230666210000001,1047.318,72.52791899999998,0.18,3.3600000000000003,1.0706200000000001,0.405067536,0.399644896,0.16,1246.0,19.514240000000004
3.2,2.68,24.848000000000003,0.4596,97.16,18.6096,0.2,51.7,11170.05759999714,-3.4507014374,6.02215624852,-1.1364,32.537,4.4322,-4.8332301388,1043.524,71.14491899999999,0.04,1.96,1.12648,0.405067536,0.399644896,0.3,1134.0,19.780240000000006
3.074,2.8200000000000003,21.291999999999998,0.4578,92.26,14.9528,0.06,44.9,11166.216191019317,-3.8528293538,5.79455520758,-1.05625,36.3718,4.3034,-5.2537934882999995,1048.452,71.460613,0.18,3.22,1.0784599999999998,0.40518025,0.399644896,0.16,1246.0,19.094240000000006
3.0180000000000002,2.8200000000000003,20.886000000000006,0.4574,92.26,14.7316,0.06,44.9,11165.895385165324,-3.8322038986,5.77772375406,-1.1063,36.861,4.4,-5.2322732168,1046.338,71.86104899999998,0.18,3.5,1.0716,0.405067536,0.399644896,0.16,1246.0,18.954240000000006
2.92,2.8200000000000003,20.662000000000006,0.4658,92.26,14.275200000000002,0.06,44.9,11165.588861966617,-3.8129045066000002,5.74136672804,-1.0552,36.664,4.789199999999999,-5.2155560058,1055.998,75.12951899999999,0.18,4.2,1.0679599999999998,0.405067536,0.399644896,0.16,1246.0,18.688240000000004
2.962,2.8200000000000003,20.480000000000004,0.4534,92.26,14.0764,0.06,44.9,11165.379880541057,-3.8051616245999997,5.7247708718400006,-1.1406,37.0974,5.0244,-5.2081546458662,1053.198,76.17951899999998,0.18,2.52,1.0638999999999998,0.405067536,0.399644896,0.16,1246.0,18.702240000000003
2.9760000000000004,2.8200000000000003,20.340000000000003,0.4524,92.26,14.002200000000002,0.06,44.9,11165.250950134065,-3.8004712172,5.718447701560001,-1.1231,37.0848,6.221399999999999,-5.2028457467,1055.578,77.13131899999998,0.18,2.24,1.0616599999999998,0.405067536,0.399644896,0.16,1246.0,19.206240000000005
3.1460000000000004,2.64,21.285999999999998,0.4578,90.16,14.979399999999998,0.06,44.9,11166.200858012564,-3.8964378083999995,5.799018881059999,-1.04655,36.4336,5.1658,-5.3035109934,1037.7240000000004,70.690833,0.24,3.3599999999999994,1.07998,0.168516434,0.15484712,0.1,1594.0,21.632240000000003
3.746,2.46,21.232,0.4578,88.06,14.9356,0.06,44.9,11166.135033405117,-3.7449545478,5.79148992398,-1.03365,36.4336,4.8778,-5.1579913497000005,1044.036,70.690833,0.3,3.18,1.0802200000000002,0.269558666,0.247755392,0.04,1510.0,22.010240000000003
1.156,3.08,21.768,0.4694,92.36,15.238,0.08,44.3,11166.672955203296,-3.9362749972000013,5.811012979639998,-1.09831379312,36.4052,4.0884,-5.3547155876544,1042.028,70.661583,0.12,3.24,1.08328,0.215494788,0.08447613131034483,0.2,1256.0,6.522040000000001
1.584,3.04,21.748,0.4694,92.84,15.2468,0.08,44.3,11166.655541623451,-3.912877941200001,5.8125428702,-1.09921034484,36.4052,4.1244,-5.3253123520407994,1043.704,70.661583,0.12,3.2,1.0833199999999998,0.26717838400000005,0.1688902384827586,0.2,1240.0,9.41724
1.798,3.02,21.738000000000003,0.4694,93.08,15.2512,0.08,44.3,11166.646834833533,-3.9011794132,5.81330781548,-1.0996586207,36.4052,4.1423999999999985,-5.310610734233999,1044.542,70.661583,0.12,3.18,1.08334,0.293020182,0.2110972920689655,0.2,1232.0,10.86484
1.2919999999999998,2.96,21.732,0.4684,92.2,15.221999999999998,0.08,45.2,11166.639511982181,-3.8224211844,5.808215401919999,-1.09791379312,37.309,4.2352,-5.245149196054402,1041.124,71.231263,0.12,3.16,1.08348,0.133650964,0.023865407310344804,0.16,1260.0,6.9420399999999995
1.856,2.8,21.676,0.4684,92.52,15.2148,0.08,45.2,11166.588655181224,-3.6851703156000006,5.80694771476,-1.09841034484,37.309,4.417999999999998,-5.1061795688408,1041.896,71.231263,0.12,3.04,1.0837199999999998,0.103490736,0.047668790482758606,0.12,1248.0,10.25724
4.105,2.3,21.925,0.4568,89.45,15.518500000000005,0.1,45.2,11166.800120907725,-3.4422013464999996,5.826612455399999,-1.11,37.2756,4.799,-4.854485721750001,1047.635,72.030293,0.25,2.6500000000000004,1.09095,0.25591445,0.262040415,0.0,1390.0,21.39844
